code,nom
J10A3,DEPT CONTROLE INTERNE
J10A4,DEPT JURIDIQUE
J10A5,DEPT HSE
J10A6,COORDONNATEUR SURETE INTERNE
J101,SECRETARIAT V.P
J102,CELLULE COORDINATION
J103,CELLULE AUDIT
J104,CELLULE JURIDIQUE
J105,CELLULE HSE
J106,CELLULE SIE
J107,DIRECTION TRANSPORT MARITIME
J108,DPT TRANSPORT MARITIME HL
J109,DPT TRANSPORT MARITIME GNL
J11,DIRECTION  RESSOURCES HUMAINES
J110,DPT TRANSPORT MARITIME GPL
J1101,SECRETARIAT
J111,DEPARTEMENT GESTION PREVISIONNELLE
J112,DEPARTEMENT FORMATION
J113,DEPT DEVELOPPEMENT RHU
J114,CELLULE GESTION DES CADRES SUP.
J115,CELLULE REGLEMENTATION ET REL.TRAVAIL
J1153EE,UNITE PORTUAIRE OUEST (ARZEW)
J116,CELLULE COMMUNICATION
J117,DEPT GES PERS&REALISATION TRAV
J118,DEPT FORMATION ET GESTION CARRIERES
J119,DPT DEV RHU&GEST CARRIERES
J12,DIRECTION FINANCES
J120,CELLULE DIRECTION
J1201,SECRETARIAT
J121,DEPARTEMENT COMPTABILITE
J122,DEPARTEMENT TRESORERIE
J123,DEPT BUDGET/CONTROLE DE GESTION
J124,DPT BUDGET
J13,DIR. MOYENS GENERAUX
J13A,DIR MOYENS GENERAUX
J13A1,DPT PASSSA MARCHES/CONTRAS
J13A2,DPT APPRO&TRANSPORT
J130,CELLULE DIRECTION
J1301,SECRETARIAT
J131,DEPT GESTION DU PERSONNEL
J132,DEPT MOYENS GENERAUX
J133,CELLULE RELATIONS EXTERIEURES
J134,DEPARTEMENT TECHNIQUE
J135,DEPT LOGISTIQUE
J14,DIRECTION ETUDES DE MARCHES ET PLANIFICATION
J140,CELLULE DIRECTION
J1401,SECRETARIAT
J141,DEPARTEMENT ANALYSE DES MARCHES ENERGITIQUES
J142,DEPARTEMENT EVALUATIONS ECONOMIQUES ET COMMERCIALES
J143,DEPARTEMENT PLANIFICATION
J144,DEPARTEMENT GESTION DES MODELES
J145,CENTRE INFORMATION ET ANALYSES DOCUMENTAIRES
J15,DIVISION COMMERCIALISATION GAZ
J15A,DIVISION COM GAZ
J15AA1,DPT VENTE GN&GAZ INDUSTRIEL
J15AA2,DPT DPT OPERATION GAZ
J15AA3,DPT VENTES&OPERATION GPL
J150,CELLULE DIVISION
J1501,SECRETARIAT
J151,DEPT PLANIF./SYST D'INFORMATION
J151A,DPT PLANIF &REPORTING
J152,DPT GEST ASSOCIATIONS GN/GPL
J153,DIR. COMMERCIALISATION GN/GNL
J153A,DEPT.GESTION ASSOCIATIONS
J153B,DEPT EXPORTATIONS WEST MED
J153BB,DPT EXPORT GN/GNL WEST/MED
